EMP_NO,ARROND,ARROND_NOM,Rue,Essence_ang,Date_Plantation,NOM_PARC,Coord_X,Coord_Y,Longitude,Latitude
37690,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,297946.75,5048560,-73.587813,45.576914
37691,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,297951.96,5048557,-73.587746,45.576887
37692,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,297965.44,5048548.5,-73.587573,45.576811
37693,12,Saint-Léonard,,Shademaster Honey-Locust,2022-06-10T00:00:00,Parc École Laurier Macdonald,297976.842,5048548.984,-73.587427,45.576816
37694,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,297999.28,5048551,-73.58714,45.576834
37695,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298018.22,5048574.5,-73.586897,45.577046
37696,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298027,5048577,-73.586785,45.577068
37697,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298028.15,5048583,-73.58677,45.577122
37698,12,Saint-Léonard,,Norway Maple,2008-10-15T00:00:00,Parc École Laurier Macdonald,298030.7,5048590,-73.586738,45.577185
37699,12,Saint-Léonard,,Norway Maple,2008-10-15T00:00:00,Parc École Laurier Macdonald,298032.34,5048600.5,-73.586717,45.57728
37700,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298039.21,5048608.5,-73.586629,45.577352
37702,12,Saint-Léonard,,Red Ash,2008-10-15T00:00:00,Parc École Laurier Macdonald,298045.82,5048605,-73.586544,45.57732
37703,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298047.6,5048601.5,-73.586521,45.577289
37704,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298050,5048599,-73.58649,45.577266
37705,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298052.05,5048595.5,-73.586464,45.577235
37706,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298046.33,5048585.5,-73.586537,45.577145
37707,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298035.68,5048577,-73.586674,45.577068
37708,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298037.05,5048583.5,-73.586656,45.577127
37709,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298038.79,5048586.5,-73.586634,45.577154
37710,12,Saint-Léonard,,Blue-beech,2022-06-10T00:00:00,Parc École Laurier Macdonald,298034.98,5048589,-73.586683,45.577176
37711,12,Saint-Léonard,,Red Ash,2008-10-15T00:00:00,Parc École Laurier Macdonald,298037.81,5048591.5,-73.586647,45.577199
37712,12,Saint-Léonard,,Blue-beech,2022-06-10T00:00:00,Parc École Laurier Macdonald,298034.03,5048595,-73.586695,45.57723
37713,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298043.24,5048598,-73.586577,45.577257
37714,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298043.16,5048594.5,-73.586578,45.577226
37715,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc École Laurier Macdonald,298046.73,5048593,-73.586532,45.577212
37716,12,Saint-Léonard,,Pine,2008-10-15T00:00:00,Parc École Laurier Macdonald,298049.51,5048549,-73.586496,45.576816
37717,12,Saint-Léonard,,Pine,2008-10-15T00:00:00,Parc École Laurier Macdonald,298045.22,5048553.5,-73.586551,45.576857
37718,12,Saint-Léonard,,Pine,2008-10-15T00:00:00,Parc École Laurier Macdonald,298042.76,5048552.5,-73.586583,45.576848
37719,12,Saint-Léonard,,Pine,2008-10-15T00:00:00,Parc École Laurier Macdonald,298041.89,5048550.5,-73.586594,45.57683
37720,12,Saint-Léonard,,Pine,2008-10-15T00:00:00,Parc École Laurier Macdonald,298040.3,5048546.5,-73.586614,45.576794
37721,12,Saint-Léonard,,Pine,2008-10-15T00:00:00,Parc École Laurier Macdonald,298036.41,5048546,-73.586664,45.576789
37722,12,Saint-Léonard,,Norway Maple,2008-10-15T00:00:00,Parc Ladauversière,298335.4,5048950,-73.582838,45.580427
37723,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc Ladauversière,298319.42,5048952,-73.583043,45.580445
37724,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc Ladauversière,298324.07,5048951,-73.582983,45.580436
37725,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc Ladauversière,298323.65,5048944.5,-73.582989,45.580378
37726,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc Ladauversière,298322.49,5048941,-73.583003,45.580346
37727,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc Ladauversière,298318.48,5048940,-73.583055,45.580337
37728,12,Saint-Léonard,,Sugar Maple,2008-10-15T00:00:00,Parc Ladauversière,298316.35,5048923,-73.583082,45.580184
37729,12,Saint-Léonard,,Silver Linden,2023-05-19T00:00:00,Parc Ladauversière,298301.539,5048914.807,-73.583272,45.58011
37730,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc Ladauversière,298303.02,5048921.5,-73.583253,45.580171
37731,12,Saint-Léonard,,Autumn Gold Maidenhair Tree,2023-05-19T00:00:00,Parc Ladauversière,298295.082,5048918.407,-73.583354,45.580143
37732,12,Saint-Léonard,,Autumn Gold Maidenhair Tree,2023-05-19T00:00:00,Parc Ladauversière,298281.98,5048926,-73.583522,45.580211
37734,12,Saint-Léonard,,Norway Maple,2008-10-15T00:00:00,Parc Ladauversière,298265.23,5048937,-73.583737,45.58031
37735,12,Saint-Léonard,,Oak,2008-10-15T00:00:00,Parc Ladauversière,298285.66,5048933.5,-73.583475,45.580279
37736,12,Saint-Léonard,,Littleleaf European Linden,2008-10-15T00:00:00,Parc Ladauversière,298281.96,5048933,-73.583523,45.580274
37737,12,Saint-Léonard,,Littleleaf European Linden,2008-10-15T00:00:00,Parc Ladauversière,298273.7,5048938.5,-73.583629,45.580323
37738,12,Saint-Léonard,,Red Oak,2023-05-19T00:00:00,Parc Ladauversière,298263.75,5048945,-73.583756,45.580382
37739,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc Ladauversière,298285.98,5048938.5,-73.583471,45.580324
37740,12,Saint-Léonard,,Red Oak,2008-10-15T00:00:00,Parc Ladauversière,298289.47,5048941.5,-73.583427,45.580351
37741,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc Ladauversière,298295.4,5048942,-73.583351,45.580355
37742,12,Saint-Léonard,,Oak,2008-10-15T00:00:00,Parc Ladauversière,298300.16,5048944.5,-73.58329,45.580378
37743,12,Saint-Léonard,,Red Oak,2008-10-15T00:00:00,Parc Ladauversière,298303.76,5048948.5,-73.583244,45.580414
37744,12,Saint-Léonard,,Oak,2008-10-15T00:00:00,Parc Ladauversière,298298.47,5048953,-73.583311,45.580454
37745,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc Ladauversière,298292.96,5048952,-73.583382,45.580445
37746,12,Saint-Léonard,,Spruce,2008-10-15T00:00:00,Parc Ladauversière,298281.96,5048952.5,-73.583523,45.580449
37747,12,Saint-Léonard,,Littleleaf European Linden,2008-10-15T00:00:00,Parc Ladauversière,298268.3,5048946,-73.583698,45.580391
37748,12,Saint-Léonard,,Littleleaf European Linden,2008-10-15T00:00:00,Parc Ladauversière,298262.38,5048951.5,-73.583774,45.58044
37749,12,Saint-Léonard,,Littleleaf European Linden,2008-10-15T00:00:00,Parc Ladauversière,298260.58,5048954.5,-73.583797,45.580467
37750,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-27T00:00:00,Parc Ladauversière,298270.12,5048975.5,-73.583675,45.580656
37751,12,Saint-Léonard,,Schwedleri Norway Maple,2008-10-27T00:00:00,Parc Ladauversière,298296.03,5049006.5,-73.583343,45.580936
37752,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-27T00:00:00,Parc Ladauversière,298292.54,5049020,-73.583388,45.581057
37753,12,Saint-Léonard,,Kentucky Coffee Tree,2008-10-27T00:00:00,Parc Ladauversière,298291.48,5049025,-73.583402,45.581102
37754,12,Saint-Léonard,,Kentucky Coffee Tree,2008-10-27T00:00:00,Parc Ladauversière,298292.75,5049028,-73.583386,45.581129
37755,12,Saint-Léonard,,Kentucky Coffee Tree,2008-10-27T00:00:00,Parc Ladauversière,298292.96,5049033.5,-73.583383,45.581178
37756,12,Saint-Léonard,,Crab Apple,2008-10-27T00:00:00,Parc Ladauversière,298287.78,5049029,-73.583449,45.581138
37757,12,Saint-Léonard,,Maidenhair Tree,2008-10-27T00:00:00,Parc Ladauversière,298282.48,5049040.5,-73.583517,45.581241
37758,12,Saint-Léonard,,Columnare Norway Maple,2008-10-27T00:00:00,Parc Ladauversière,298279.1,5049028,-73.583561,45.581129
37759,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-27T00:00:00,Parc Ladauversière,298277.83,5049024,-73.583577,45.581093
37760,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-27T00:00:00,Parc Ladauversière,298275.28,5049021.5,-73.58361,45.58107
37761,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-27T00:00:00,Parc Ladauversière,298271.27,5049013.5,-73.583661,45.580998
37762,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-27T00:00:00,Parc Ladauversière,298274.76,5049010.5,-73.583616,45.580971
37763,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-27T00:00:00,Parc Ladauversière,298278.57,5049007,-73.583567,45.58094
37764,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-27T00:00:00,Parc Ladauversière,298282.8,5049004,-73.583513,45.580913
37765,12,Saint-Léonard,,Silver Maple,2008-10-27T00:00:00,Parc Ladauversière,298271.05,5049005,-73.583663,45.580922
37766,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-27T00:00:00,Parc Ladauversière,298265.76,5048977.5,-73.583731,45.580674
37767,12,Saint-Léonard,,Silver Maple,2008-10-27T00:00:00,Parc Ladauversière,298265.43,5048970,-73.583735,45.580607
37768,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298259,5048972,-73.583817,45.580625
37769,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298260.15,5048975,-73.583803,45.580652
37770,12,Saint-Léonard,,Silver Maple,2008-10-27T00:00:00,Parc Ladauversière,298259.41,5048981,-73.583812,45.580706
37771,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298255.07,5048979.5,-73.583868,45.580692
37772,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298254.64,5048974.5,-73.583873,45.580647
37773,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298249.99,5048977,-73.583933,45.58067
37774,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298250.42,5048979.5,-73.583928,45.580692
37775,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298250.52,5048982.5,-73.583926,45.580719
37776,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298249.68,5048985,-73.583937,45.580742
37777,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298246.81,5048977,-73.583974,45.58067
37778,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298246.61,5048979.5,-73.583976,45.580692
37779,12,Saint-Léonard,,Spruce,2008-10-27T00:00:00,Parc Ladauversière,298247.88,5048981.5,-73.58396,45.58071
37780,12,Saint-Léonard,,Littleleaf European Linden,2008-10-07T00:00:00,Îlot Viau/Jean-Talon,298128.54,5048359.5,-73.585481,45.575112
37781,12,Saint-Léonard,,Littleleaf European Linden,2008-10-07T00:00:00,Îlot Viau/Jean-Talon,298137.93,5048355,-73.58536,45.575072
37782,12,Saint-Léonard,,Littleleaf European Linden,2008-10-07T00:00:00,Îlot Viau/Jean-Talon,298147.99,5048350.5,-73.585231,45.575031
37783,12,Saint-Léonard,,Littleleaf European Linden,2008-10-07T00:00:00,Îlot Viau/Jean-Talon,298157.78,5048346,-73.585106,45.574991
37784,12,Saint-Léonard,,Littleleaf European Linden,2008-10-07T00:00:00,Îlot Viau/Jean-Talon,298167.7,5048341.5,-73.584979,45.57495
37785,12,Saint-Léonard,,Littleleaf European Linden,2008-10-07T00:00:00,Îlot Viau/Jean-Talon,298172.99,5048329,-73.584911,45.574838
37786,12,Saint-Léonard,,Littleleaf European Linden,2008-10-07T00:00:00,Îlot Viau/Jean-Talon,298145.47,5048346,-73.585264,45.574991
37788,12,Saint-Léonard,,Populus alba 'Bolleana',2008-10-07T00:00:00,Îlot Burel/Viau,298031.75,5048408.5,-73.586722,45.575552
37789,12,Saint-Léonard,,Red Ash,2008-10-06T00:00:00,Îlot Provencher/Jean-Talon,297937.54,5047917.5,-73.587922,45.571133
37790,12,Saint-Léonard,,Red Ash,2008-10-06T00:00:00,Îlot Provencher/Jean-Talon,297945.8,5047923,-73.587816,45.571182
37791,12,Saint-Léonard,,Siberian Elm,2008-10-06T00:00:00,Îlot Provencher/Jean-Talon,297951.28,5047926,-73.587746,45.57121
37792,12,Saint-Léonard,,Red Ash,2008-10-06T00:00:00,Îlot Provencher/Jean-Talon,297956.75,5047929,-73.587676,45.571237
37794,12,Saint-Léonard,,Red Ash,2008-10-06T00:00:00,Îlot Provencher/Jean-Talon,297965.48,5047927,-73.587564,45.571219
37795,12,Saint-Léonard,,Siberian Elm,2008-10-06T00:00:00,Îlot Provencher/Jean-Talon,297965.48,5047922,-73.587564,45.571174
37796,12,Saint-Léonard,,Red Ash,2008-10-06T00:00:00,Îlot Provencher/Jean-Talon,297962.31,5047916,-73.587605,45.57112
37797,12,Saint-Léonard,,Siberian Elm,2008-10-06T00:00:00,Îlot Provencher/Jean-Talon,297959.29,5047911,-73.587643,45.571075
37798,12,Saint-Léonard,,Schwedleri Norway Maple,2008-10-06T00:00:00,Îlot Provencher/Jean-Talon,297943.91,5047915,-73.58784,45.57111
37799,12,Saint-Léonard,,Red Oak,2008-10-07T00:00:00,Parc Hébert,297735.45,5047969.5,-73.590512,45.571599
37800,12,Saint-Léonard,,White Mulberry,2008-10-07T00:00:00,Parc Hébert,297726.23,5047955,-73.59063,45.571468
37801,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297716.78,5047941,-73.590751,45.571342
37802,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297711.25,5047933,-73.590821,45.57127
37803,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297703.34,5047928,-73.590923,45.571225
37804,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297699.44,5047926,-73.590973,45.571207
37805,12,Saint-Léonard,,Red Oak,2024-10-17T00:00:00,Parc Hébert,297707.72,5047941,-73.590867,45.571342
37806,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297700.14,5047943,-73.590964,45.57136
37807,12,Saint-Léonard,,White Spruce,2008-10-07T00:00:00,Parc Hébert,297696.08,5047943,-73.591016,45.57136
37808,12,Saint-Léonard,,Paper Birch,2008-10-07T00:00:00,Parc Hébert,297692.11,5047938,-73.591067,45.571315
37809,12,Saint-Léonard,,Schubert's Chokecherry,2008-10-07T00:00:00,Parc Hébert,297689.63,5047941,-73.591098,45.571342
37810,12,Saint-Léonard,,Paper Birch,2008-10-07T00:00:00,Parc Hébert,297688.03,5047939.5,-73.591119,45.571328
37811,12,Saint-Léonard,,Paper Birch,2008-10-07T00:00:00,Parc Hébert,297683.89,5047939,-73.591172,45.571324
37812,12,Saint-Léonard,,Schubert's Chokecherry,2008-10-07T00:00:00,Parc Hébert,297686.16,5047944,-73.591143,45.571369
37813,12,Saint-Léonard,,Schwedleri Norway Maple,2008-10-07T00:00:00,Parc Hébert,297675.19,5047943,-73.591283,45.57136
37814,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297661.45,5047949,-73.59146,45.571414
37815,12,Saint-Léonard,,Littleleaf European Linden,2008-10-07T00:00:00,Parc Hébert,297663.42,5047958,-73.591435,45.571495
37816,12,Saint-Léonard,,Scots Pine,2008-10-07T00:00:00,Parc Hébert,297666.02,5047971,-73.591401,45.571612
37817,12,Saint-Léonard,,Scots Pine,2008-10-07T00:00:00,Parc Hébert,297659.91,5047972,-73.59148,45.571621
37818,12,Saint-Léonard,,Scots Pine,2008-10-07T00:00:00,Parc Hébert,297656.47,5047978,-73.591524,45.571674
37819,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297650.3,5047972,-73.591603,45.57162
37820,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297644.52,5047968,-73.591677,45.571584
37821,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297646.63,5047963,-73.59165,45.571539
37822,12,Saint-Léonard,,Sugar Maple,2008-10-07T00:00:00,Parc Hébert,297643.27,5047963.5,-73.591693,45.571544
37823,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297637.95,5047964,-73.591761,45.571548
37824,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297631.94,5047967.5,-73.591838,45.57158
37825,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297638.27,5047968.5,-73.591757,45.571589
37826,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297645.22,5047984.5,-73.591668,45.571733
37827,12,Saint-Léonard,,Schubert's Chokecherry,2008-10-07T00:00:00,Parc Hébert,297641.7,5047988,-73.591713,45.571764
37828,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297626.571,5047970.576,-73.591907,45.571607
37829,12,Saint-Léonard,,White Spruce,2008-10-07T00:00:00,Parc Hébert,297637.56,5047991,-73.591766,45.571791
37830,12,Saint-Léonard,,Schubert's Chokecherry,2008-10-07T00:00:00,Parc Hébert,297640.77,5047993,-73.591725,45.571809
37831,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297643.11,5047997.5,-73.591695,45.57185
37832,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297640.55,5048000,-73.591728,45.571872
37833,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297645.69,5048001,-73.591662,45.571881
37834,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297642.64,5048005,-73.591701,45.571917
37835,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297648.11,5048005,-73.591631,45.571917
37836,12,Saint-Léonard,,Schubert's Chokecherry,2008-10-07T00:00:00,Parc Hébert,297650.53,5048008,-73.5916,45.571944
37837,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297658.11,5048029.5,-73.591504,45.572138
37838,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297661.23,5048030,-73.591464,45.572142
37839,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297660.77,5048034,-73.59147,45.572178
37840,12,Saint-Léonard,,Globe Norway Maple,2008-10-07T00:00:00,Parc Hébert,297644.75,5048039.5,-73.591675,45.572228
37841,12,Saint-Léonard,,Globe Norway Maple,2008-10-07T00:00:00,Parc Hébert,297644.36,5048045,-73.59168,45.572277
37842,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297622,5048029,-73.591966,45.572133
37843,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297616.69,5048033,-73.592034,45.572169
37844,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-07T00:00:00,Parc Hébert,297611.17,5048036.5,-73.592105,45.5722
37845,12,Saint-Léonard,,White Fir,2008-10-07T00:00:00,Parc Hébert,297629.08,5048018,-73.591875,45.572034
37846,12,Saint-Léonard,,Scots Pine,2008-10-07T00:00:00,Parc Hébert,297628.22,5048014.5,-73.591886,45.572003
37847,12,Saint-Léonard,,Balsam Fir,2008-10-07T00:00:00,Parc Hébert,297625.08,5048004.5,-73.591926,45.571913
37848,12,Saint-Léonard,,Scots Pine,2008-10-07T00:00:00,Parc Hébert,297618.56,5048008,-73.59201,45.571944
37851,12,Saint-Léonard,,Scots Pine,2008-10-07T00:00:00,Parc Hébert,297616.18,5048011,-73.592041,45.571971
37852,12,Saint-Léonard,,Eastern White Pine,2008-10-07T00:00:00,Parc Hébert,297611.98,5048014,-73.592094,45.571998
37853,12,Saint-Léonard,,White Spruce,2008-10-07T00:00:00,Parc Hébert,297608.2,5048015.5,-73.592143,45.572011
37855,12,Saint-Léonard,,White Spruce,2008-10-07T00:00:00,Parc Hébert,297607.69,5048010,-73.592149,45.571962
37856,12,Saint-Léonard,,Scots Pine,2008-10-07T00:00:00,Parc Hébert,297603.97,5048007.5,-73.592197,45.571939
37857,12,Saint-Léonard,,Spruce,2008-10-07T00:00:00,Parc Hébert,297605.23,5048005.5,-73.592181,45.571921
37858,12,Saint-Léonard,,Pine,2008-10-07T00:00:00,Parc Hébert,297601.24,5048007,-73.592232,45.571935
37859,12,Saint-Léonard,,Spruce,2008-10-07T00:00:00,Parc Hébert,297601.14,5048000.5,-73.592233,45.571876
37861,12,Saint-Léonard,,Spruce,2008-10-07T00:00:00,Parc Hébert,297595.92,5047999.5,-73.5923,45.571867
37862,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297612.29,5047980,-73.59209,45.571692
37863,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297605.13,5047985,-73.592182,45.571737
37864,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297596.73,5047992.5,-73.592289,45.571804
37865,12,Saint-Léonard,,Norway Maple,2008-10-07T00:00:00,Parc Hébert,297595.32,5047995.5,-73.592308,45.571831
37866,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297589.16,5047995.5,-73.592386,45.571831
37867,12,Saint-Léonard,,Norway Maple,2008-10-07T00:00:00,Parc Hébert,297587.51,5048000.5,-73.592408,45.571876
37868,12,Saint-Léonard,,Silver Maple,2008-10-07T00:00:00,Parc Hébert,297581.9,5047999,-73.59248,45.571863
37869,12,Saint-Léonard,,Schwedleri Norway Maple,2008-10-07T00:00:00,Parc Hébert,297579.55,5048004.5,-73.59251,45.571912
37870,12,Saint-Léonard,,Silver Maple,2008-10-08T00:00:00,Parc Hébert,297567.67,5048008,-73.592662,45.571944
37871,12,Saint-Léonard,,Schwedleri Norway Maple,2008-10-08T00:00:00,Parc Hébert,297564.29,5048012.5,-73.592705,45.571984
37872,12,Saint-Léonard,,Silver Maple,2008-10-08T00:00:00,Parc Hébert,297557.23,5048014.5,-73.592796,45.572002
37873,12,Saint-Léonard,,Norway Maple,2008-10-08T00:00:00,Parc Hébert,297556.647,5048018.991,-73.592803,45.572042
37875,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297576.68,5048026.5,-73.592547,45.57211
37876,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297570.95,5048029,-73.59262,45.572133
37877,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297566.24,5048031.5,-73.592681,45.572155
37878,12,Saint-Léonard,,Schubert's Chokecherry,2008-10-08T00:00:00,Parc Hébert,297556.13,5048042,-73.59281,45.572249
37879,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297591.82,5048048,-73.592353,45.572304
37880,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297590.07,5048039.5,-73.592375,45.572227
37881,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297583.23,5048035,-73.592463,45.572187
37882,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297576.9,5048039.5,-73.592544,45.572227
37883,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297544.21,5048057.5,-73.592963,45.572389
37884,12,Saint-Léonard,,Norway Maple,2008-10-08T00:00:00,Parc Hébert,297534.82,5048026.5,-73.593083,45.57211
37886,12,Saint-Léonard,,Norway Maple,2008-10-08T00:00:00,Parc Hébert,297506.47,5048035.5,-73.593447,45.57219
37888,12,Saint-Léonard,,Norway Maple,2008-10-08T00:00:00,Parc Hébert,297485.69,5048045,-73.593713,45.572276
37889,12,Saint-Léonard,,Norway Maple,2008-10-08T00:00:00,Parc Hébert,297484.67,5048051,-73.593726,45.57233
37890,12,Saint-Léonard,,Norway Maple,2008-10-08T00:00:00,Parc Hébert,297481.5,5048068.5,-73.593767,45.572487
37891,12,Saint-Léonard,,Norway Maple,2008-10-08T00:00:00,Parc Hébert,297470.14,5048080.5,-73.593913,45.572595
37893,12,Saint-Léonard,,Red Ash,2008-10-08T00:00:00,Parc Hébert,297481.39,5048088,-73.593769,45.572662
37894,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297528.16,5048056,-73.593169,45.572375
37895,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297533.49,5048053,-73.593101,45.572348
37896,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297539.22,5048049,-73.593027,45.572312
37897,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297544.64,5048046,-73.592958,45.572285
37898,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297514.76,5048044,-73.59334,45.572267
37899,12,Saint-Léonard,,Skyline Honey-Locust,2008-10-08T00:00:00,Parc Hébert,297509.23,5048045,-73.593411,45.572276
37900,12,Saint-Léonard,,Western Catalpa,2008-10-08T00:00:00,Parc Hébert,297503.91,5048045.5,-73.593479,45.57228
37901,12,Saint-Léonard,,White Spruce,2008-10-08T00:00:00,Parc Hébert,297499.51,5048056.5,-73.593536,45.572379
37902,12,Saint-Léonard,,White Spruce,2008-10-08T00:00:00,Parc Hébert,297498.6,5048060.5,-73.593548,45.572415
37903,12,Saint-Léonard,,White Spruce,2008-10-08T00:00:00,Parc Hébert,297493.98,5048062,-73.593607,45.572429
37904,12,Saint-Léonard,,Picea pungens 'Engelm',2008-10-08T00:00:00,Parc Hébert,297497.86,5048065,-73.593557,45.572456
37905,12,Saint-Léonard,,White Spruce,2008-10-08T00:00:00,Parc Hébert,297495.21,5048067.5,-73.593591,45.572478
37906,12,Saint-Léonard,,Picea pungens 'Engelm',2008-10-08T00:00:00,Parc Hébert,297489.89,5048065.5,-73.593659,45.57246
37907,12,Saint-Léonard,,White Spruce,2008-10-08T00:00:00,Parc Hébert,297490.09,5048074,-73.593657,45.572537
37908,12,Saint-Léonard,,White Spruce,2008-10-08T00:00:00,Parc Hébert,297487.23,5048070.5,-73.593694,45.572505
